(112134, 5850)
(112135, 5851)
(112135, 12638)
(112136, 5852)
(112137, 5853)
(116023, 4649)
(116024, 4648)
(116024, 5645)
(116024, 10993)
(116932, 10262)
(116932, 14182)
(116932, 14427)
(116933, 10263)
(116934, 10264)
(117107, 19161)
(117108, 1797)
(117108, 10567)
(117108, 19160)
(117109, 10568)
(118719, 15026)
(120030, 10994)
(120031, 4648)
(120031, 5645)
(120031, 10993)
(120780, 2522)
(120780, 15982)
(120781, 2523)
(120781, 15981)
(120782, 2524)
(120782, 15980)
(120783, 2525)
(120783, 15979)
(124880, 2770)
(124880, 3230)
(124880, 9793)
(124881, 2771)
(124882, 2772)
(124883, 2773)
(129195, 184)
(129195, 15548)
(129373, 226)
(129374, 227)
(129374, 2873)
(129374, 18886)
(131348, 2665)
(131348, 17303)
(131910, 4849)
(131910, 5324)
(131911, 5325)
(133179, 6644)
(133180, 5309)
(133180, 6643)
(133180, 11284)
(133943, 6488)
(133943, 10108)
(133943, 14550)
(134126, 6488)
(134126, 10108)
(134126, 14550)
(134389, 3731)
(134390, 3732)
(135051, 227)
(135051, 2873)
(135051, 18886)
(135052, 18885)
(141102, 9707)
(146457, 10262)
(146457, 14182)
(146457, 14427)
(148200, 15497)
(148201, 14320)
(148201, 15496)
(152716, 18854)
(152717, 1690)
(152717, 12180)
(152717, 18855)
(153592, 184)
(153592, 15548)
(160758, 15409)
(160758, 17245)
(160758, 19933)
(162649, 8554)
(168061, 12143)
(168100, 7541)
(168101, 7542)
(168102, 7543)
(169491, 9792)
(169492, 2770)
(169492, 3230)
(169492, 9793)
(169493, 3231)
(170383, 13939)
(170384, 13940)
(170961, 12181)
(170962, 1690)
(170962, 12180)
(170962, 18855)
(170963, 1691)
(170964, 1692)
(170965, 1693)
(171371, 18534)
(171372, 18535)
(171373, 18536)
(171373, 19551)
(172227, 5623)
(172227, 7410)
(172228, 5624)
(175546, 5850)
(175547, 5851)
(175547, 12638)
(175548, 12637)
(176016, 10262)
(176016, 14182)
(176016, 14427)
(176077, 16366)
(176078, 5228)
(176078, 16367)
(178232, 11606)
(178232, 15880)
(178232, 19026)
(180182, 10994)
(180183, 4648)
(180183, 5645)
(180183, 10993)
(182185, 6552)
(182186, 5905)
(182186, 6553)
(182187, 5906)
(183000, 119)
(183000, 12435)
(184633, 5623)
(184633, 7410)
(184634, 7409)
(187512, 10717)
(187513, 1109)
(187513, 3284)
(187513, 10716)
(187514, 1108)
(189526, 9792)
(189527, 2770)
(189527, 3230)
(189527, 9793)
(189528, 9794)
(189529, 9795)
(189571, 227)
(189571, 2873)
(189571, 18886)
(192329, 6750)
(192330, 6751)
(192779, 2665)
(192779, 17303)
(196371, 9448)
(196371, 11423)
(197524, 2524)
(197524, 15980)
(198571, 20191)
(200233, 272)
(200233, 1058)
(200233, 13290)
